EGT_ID,EGT_UID,ELCODE,TAXGROUP,G_NAME,G_COMNAME,ORIGIN,PRESENCE,COMMENTS,HUC8_OLD,HUC8_WBD,CONV_DATA,DUP_FLAG,PCTOVRLAP,CONF_SCORE,CONFMETHOD,CONF_COM,CONF_EO,REFCODE1,SHORT_CIT1,NEW_DATA,NEW_RECTOT,NEW_SRC,NEW_COM,REFCODE2,SHORT_CIT2,CURR_EO,EOpost1978,EO_noDate
112249,2-112249,ICMAL11070,Crayfishes,Orconectes pellucidus,Mammoth Cave Crayfish,Native,Present,,05110001,05110001,Y,,97.91852499,Very High,Auto,,,B72HOB02EHUS,"Hobbs and Barr, 1972",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120537,2-120537,ICMAL49010,Crayfishes,Barbicambarus cornutus,Bottle Brush Crayfish,Native,Present,,05110001,05110001,Y,,97.91852499,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,12,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112249,2-112249,ICMAL11070,Crayfishes,Orconectes pellucidus,Mammoth Cave Crayfish,Native,Present,,05110002,05110002,Y,,99.00416021,Very High,Auto,,,B72HOB02EHUS,"Hobbs and Barr, 1972",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119588,2-119588,ICMAL07500,Crayfishes,Cambarus friaufi,Hairy Crayfish,Native,Present,,05110002,05110002,Y,,99.00416021,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120537,2-120537,ICMAL49010,Crayfishes,Barbicambarus cornutus,Bottle Brush Crayfish,Native,Present,,05110002,05110002,Y,,99.00416021,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,18,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
1101996,2-1101996,ICMAL07D00,Crayfishes,Lacunicambarus diogenes,Devil Crawfish,Native,Present,,04120104,04120104,Y,,97.01209722,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020001,05020001,Y,,98.53332514,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020002,05020002,Y,,97.64615061,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020003,05020003,Y,,96.0584212,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020004,05020004,Y,,97.13391755,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020005,05020005,Y,,97.29019096,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05030101,05030101,Y,,98.04781802,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,2,BISON,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05030106,05030106,Y,,97.73041345,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05030201,05030201,Y,,98.30191946,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05030203,05030203,Y,,98.55755952,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
112361,2-112361,ICMAL07130,Crayfishes,Cambarus chasmodactylus,New River Crayfish,Native,Present,,05050001,05050001,Y,,98.25327038,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,8,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
952590,2-952590,ICMAL07B40,Crayfishes,Cambarus veteranus,Guyandotte River Crayfish,Native,Present,,05050002,05050002,Y,,97.30735405,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
112361,2-112361,ICMAL07130,Crayfishes,Cambarus chasmodactylus,New River Crayfish,Native,Present,,05050002,05050002,Y,,97.30735405,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
107950,2-107950,ICMAL07250,Crayfishes,Cambarus nerterius,Greenbrier Cave Crayfish,Native,Present,,05050003,05050003,Y,,98.18869033,Very High,Auto,,,B95JEZ01EHUS,"Jezerinac et al., 1995",Y,4,BISON,,,,,,
112361,2-112361,ICMAL07130,Crayfishes,Cambarus chasmodactylus,New River Crayfish,Native,Present,,05050003,05050003,Y,,98.18869033,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112669,2-112669,ICMAL11670,Crayfishes,Faxonius virilis,Virile Crayfish,Native,Present,,11060005,11060005,Y,,96.81297652,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,18,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112669,2-112669,ICMAL11670,Crayfishes,Faxonius virilis,Virile Crayfish,Native,Present,,11060006,11060006,Y,,97.08297779,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,6,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11070103,11070103,Y,,96.06229165,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,6,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
962700,2-962700,ICMAL11930,Crayfishes,Faxonius palmeri,Gray-speckled Crayfish,Native,Present,,11070106,11070106,Y,,96.98814534,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11070107,11070107,Y,,97.31581518,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,12,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
108941,2-108941,ICMAL14230,Crayfishes,Procambarus acutus,White River Crawfish,Native,Present,,11070205,11070205,Y,,97.36238827,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
